"indID","name","units"
"CHD.O.PRO.20.T2","Estimated number of Internally Displaced Persons in Bangui","People"
"CHD.O.PRO.21.T2","Estimated number of Internally Displaced Persons in CAR","People"
"CHD.O.PRO.22.T2","Refugees from the Central African Republic","People"
"CHD.O.PRO.23.T2","Registered Somali Refugee Population","People"
"CHD.O.PRO.24.T2","Registered Refugee Population","People"
"CHD.O.PRO.25.T2","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","People"
"CHD.O.PRO.26.T2","Refugees from South Sudan in neighbouring countries: Pre 15 Dec 2013","People"
"CHD.O.PRO.27.T2","Refugees from South Sudan in neighbouring countries: Total","People"
"CHD.O.PRO.28.T2","Refugees in South Sudan","People"
"CHD.O.PRO.29.T2","Refugees from South Sudan in neighbouring countries Total","People"
"CHD.O.PRO.30.T2","Persons awaiting registration","People"
"CHD.O.PRO.31.T2","Registered Syrian Refugees","People"
"CHD.O.PRO.32.T2","Total Persons of Concern","People"
